Carassius auratus 
Carcharhinus obscurus
Carcharhinus plumbeus
Carcharias taurus
Carcinus
Carcinus maemis
Carcinus maenas
Cardiidae
Cardium
Caretta caretta
Caridea
Cariopsilla pharpa
Carronella pellucida
Casco bigelowi
Catriona aurantia
Catriona columbiana
Catriona gymnota
Catriona rickettsi
Cellaria fistulosa
Cellaria sinuosa
Centrolabrus exoletus
Centropages
Centropristis striata
Centrostephanus coronatus
Cephalopoda
Cepphus grylle f. mandtii
Ceramium deslongchampsii
Ceramium tenuicorne
Ceramium virgatum
Cerastoderma edule
Cerastoderma pinnulatum
Cerataulina pelagica
Ceratocorys armata
Ceratomyxa
Ceratomyxa longipes
Cercaria buccini
Cercaria neptuneae
Cerebratulus lacteus
Cereus pedunculatus
Cerianthus 
Cerianthus borealis
Cerithiopsis greenii
Chaetoceros calcitrans
Chaetoceros neogracile
Chaetodipterus faber
Chaetognatha
Chaetomorpha picquotiana
Chaetopteridae
Chaetopterus variopedatus
Chaetozone setosa
Cheilodactylus fasciatus
Chelidonichthys lucerna
Chelonia mydas
Chicoreus capucinus 
Chilomycterus schoepfi
Chione cancellata
Chionoecetes opilio
Chiridotea
Chlamys
Chlamys islandica
Chlorophyta
Chondria
Chondrus crispus
Chone duneri
Chone infundibuliformis
Chrysaora plocamia
Chrysaora quinquecirrha
Chrysophyceae
Chthamalus
Chthamalus dalli
Chthamalus stellatus
Ciona intestinalis
Ciona savingyi
Cirolana
Cirolana parva
Cirolana polita
Cirratulidae
Cirripedia
Cistenides
Cistenides granulata
Citharichthys arctifrons
Citheronia regalis
Cladophora columbiana
clams
Clangula hyemaIis
Clangula hyemalis
Clathromorphum circumscriptum
Clava
Clava multicornis
Clavella adunca
Climacosphenia moniligera
Clinocardium ciliatum
Clinus agilis
Clinus venustris
Cliona celata
Cliona lobata
Cliona undulata
Clione
Clupea harengus
Clupea pallasii
Clupeidae
Clymenella torquata
Cnemidocarpa
Cnidaria
Coccomyxa
Codium fragile
